City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,stettler,52.3168,-112.7186,9.86,100,0,1.54,CA,1691312131
347,margate,51.3813,1.3862,15.94,74,60,6.71,GB,1691311634
348,lodja,-3.4833,23.4333,33.86,25,80,1.71,CD,1691312131
349,west salem,43.8991,-91.0813,20.82,78,0,2.57,US,1691312131
350,bayamo,20.3792,-76.6433,24.72,91,9,1.23,CU,1691312132
351,abepura,-2.6333,140.5833,27.45,74,20,3.09,ID,1691312132
352,alice springs,-23.7,133.8833,19.75,40,0,4.12,AU,1691312132
353,sal rei,16.1833,-22.9167,26.11,78,75,2.06,CV,1691312132
354,ad dilam,23.9915,47.1627,39.23,7,7,8.1,SA,1691312132
355,colonia,50.9333,6.95,17.2,88,75,3.09,DE,1691311904
356,paphos,34.7667,32.4167,32.91,62,0,4.12,CY,1691312133
357,tamiahua,21.2667,-97.45,25.68,90,99,1.9,MX,1691312133
358,chegdomyn,51.1167,133.0167,24.1,42,5,1.32,RU,1691312133
359,tolanaro,-25.0319,46.9987,24.04,64,40,7.2,MG,1691312133
360,fort bragg,35.139,-79.006,23.91,93,0,2.06,US,1691312135
361,belyy yar,53.6039,91.3903,22.94,46,0,3.0,RU,1691312135
362,illizi,26.4833,8.4667,36.89,7,0,3.19,DZ,1691312135
363,greenville,35.6127,-77.3663,23.01,98,0,0.0,US,1691311543
364,sumner,36.4998,-86.45,22.9,94,100,0.0,US,1691312135
365,laojunmiao,39.8333,97.7333,29.24,15,7,5.42,CN,1691312136
366,ishigaki,24.3448,124.1572,30.07,84,75,4.63,JP,1691312136
367,la'ie,21.6477,-157.9253,25.98,74,5,5.63,US,1691312057
368,happy valley-goose bay,53.3168,-60.3315,15.17,82,75,1.54,CA,1691312136
369,paradip garh,20.3167,86.6167,31.82,68,100,8.41,IN,1691312136
370,cockburn town,21.4612,-71.1419,28.63,78,2,9.68,TC,1691312136
371,sassandra,4.95,-6.0833,24.15,91,100,3.47,CI,1691312137
372,ca' savio,45.4538,12.4573,24.5,73,0,3.09,IT,1691312137
